cam1_X,cam1_Y,cam2_X,cam2_Y
439.972109,684.722800,467.701491,712.594286
460.216464,684.797147,489.293737,711.873098
481.053902,684.874623,509.585445,712.512543
501.292142,685.552127,530.603331,712.448272
522.103587,685.614765,552.182563,711.815043
542.321888,685.700611,572.527587,712.450243
562.540871,685.787264,593.457629,711.791929
583.341805,685.841805,615.098428,712.412051
604.134336,685.919995,636.759602,711.732206
624.347973,686.596709,657.073189,711.738718
644.535903,686.068325,676.747192,711.707937
665.328651,686.750226,699.040961,711.661604
685.502195,686.826188,719.415509,711.668059
706.282351,686.899666,740.372237,710.949858
726.459463,686.977515,761.326525,710.943898
746.619729,687.644135,782.369576,710.860364
767.390207,687.706835,803.384429,711.509459
787.548083,687.796459,824.357766,710.834383
808.295767,687.865120,845.348647,710.809741
828.454476,687.935111,866.392276,710.787542
848.587554,688.622323,887.401617,710.779693
869.330533,688.693041,909.121058,711.401836
889.449911,688.783456,930.125529,710.722095
378.984564,704.527919,404.516609,733.332442
399.270013,704.017701,425.431043,732.667812
420.107157,704.669371,447.083730,732.684883
440.363910,704.744070,467.285517,732.703788
461.207992,704.823767,487.675579,732.649090
481.442606,704.883648,509.283453,731.921717
502.283463,705.570543,530.208226,732.597943
522.501301,705.641036,550.512850,731.931894
543.333809,705.721977,572.850447,732.575351
564.138709,705.790381,593.156316,731.864426
584.957345,705.853494,613.433656,732.519841
605.164366,705.934331,634.454364,731.859034
625.364094,705.998580,656.019840,731.828691
645.566082,706.682499,677.007395,732.476091
666.351438,706.140344,697.426244,731.786817
686.541592,706.814308,718.384350,732.365250
707.317715,706.889602,738.762656,731.732453
727.490450,706.965517,760.383188,732.342141
747.651523,707.645892,781.403898,731.653713
768.434661,707.705845,802.443530,731.654144
788.584402,707.787629,823.419183,731.595126
809.366852,707.847650,844.399505,730.957183
829.495981,707.918739,865.465638,730.930326
850.259046,708.608614,886.505974,731.585709
870.386932,708.680523,907.488140,731.548980
890.519764,708.754298,929.196388,730.890205
379.377906,724.000672,403.475934,752.794349
400.252695,724.646858,425.090219,752.808362
421.102809,724.703462,445.403672,752.076914
441.348094,724.785405,466.330515,752.107436
462.184461,724.848781,487.895460,753.431148
482.445902,724.929731,508.891139,752.718228
503.270817,725.589663,529.211110,752.068774
524.100156,725.655770,550.208491,752.703437
544.333593,725.737204,571.153007,752.698807
565.135278,725.794114,591.482328,752.022491
585.366344,725.870922,612.432170,752.626060
605.564336,725.938037,634.050272,752.634017
626.375032,726.612266,654.424485,752.585333
647.183355,726.683097,676.103249,751.903150
667.371154,726.755897,697.067870,751.897883
688.156785,726.833826,718.069169,752.529679
708.339997,726.895425,738.416073,751.869183
729.139696,726.960215,760.081519,751.792816
749.302423,727.035842,779.803587,752.480553
769.469458,727.719012,801.416171,751.802259
789.632596,727.800179,822.476610,751.793239
810.393585,727.857107,844.103382,751.737421
831.174553,727.922099,864.507323,751.714151
851.311528,728.611615,886.177024,752.356638
871.452905,728.675625,907.179323,751.678194
891.576720,728.736816,928.223745,751.013461
380.332845,744.057295,402.495238,773.608000
401.215958,744.692740,423.358884,773.577870
422.063613,744.764136,444.338840,772.832195
442.936610,744.831525,465.291266,773.514807
463.184542,744.900532,485.613002,773.510876
483.424842,744.961355,507.896417,773.520805
504.262516,745.023087,527.540002,772.857318
525.092845,745.699649,549.160528,773.459184
545.344814,745.763175,569.456206,773.416325
566.152490,745.829487,590.499012,772.803360
586.374936,745.903213,611.457814,773.431183
606.591055,745.951035,632.413478,772.706678
627.397360,746.641594,653.411829,772.717659
648.206313,746.703105,674.399413,773.337043
668.400000,746.776154,695.421606,772.690089
688.583737,746.832908,716.403441,773.294910
709.377613,746.909091,737.391263,772.629621
729.564830,746.967299,759.056564,772.605953
750.350387,747.638060,778.804152,772.603321
770.516389,747.705875,800.451251,772.605760
791.293281,747.786487,820.809457,772.542135
811.442643,747.848379,842.476049,771.910956
831.597938,748.527015,863.532220,772.541578
852.360360,748.602863,885.244555,772.480232
872.516448,748.666832,905.577655,771.863713
893.252284,748.736579,926.611260,771.831712
381.314274,764.684532,401.418481,793.665017
402.194626,764.746935,423.047070,793.655063
422.456714,764.806649,443.292515,793.660736
443.325192,764.882292,464.337480,793.009114
464.155190,764.944991,485.234440,793.629241
485.011291,765.005840,505.542105,793.588723
505.257668,765.069497,527.190711,792.946286
525.500838,765.737276,547.507902,793.557638
546.335135,765.808623,568.488997,793.558298
567.152943,765.861513,590.121927,793.578207
587.383063,766.525572,610.416605,792.891550
608.198277,765.986499,631.411353,792.842391
628.397878,766.658103,653.140580,793.493237
648.612862,766.729260,673.426327,792.834764
669.425935,766.782769,694.428537,793.506344
690.221728,766.858704,716.075198,792.775486
710.407201,766.926217,737.109686,792.762504
731.214059,766.986653,758.096665,792.735752
751.382152,767.664430,778.454600,792.774609
771.553466,767.722201,798.820997,792.703460
792.352934,767.793694,821.172989,792.720789
812.491477,767.854125,842.227596,793.316126
833.274317,767.912214,863.252753,791.986357
853.419343,767.969977,884.268836,792.660182
873.573006,768.655951,905.285308,792.621167
894.335202,768.727205,925.690456,793.296292
382.301415,784.764978,400.395960,813.797001
403.153263,784.817314,421.339671,814.443449
423.435404,784.882116,442.278922,814.428136
444.289669,784.934373,462.661044,814.401463
465.151653,785.602187,484.226448,813.717373
485.401120,785.070173,504.552138,813.755300
506.250390,785.732709,526.163115,814.372520
527.087381,785.788123,546.451157,813.697199
547.927789,785.842811,567.465899,813.700624
567.560227,785.910756,589.122731,813.678044
588.398045,786.582143,610.113704,814.360622
609.217005,786.638153,630.446117,813.689486
630.018362,786.700051,650.798290,813.643476
649.639154,786.760413,672.488769,813.649653
670.444714,786.821935,694.075183,812.938771
690.649245,786.875682,714.444353,813.549425
711.441460,786.949823,736.125623,813.525291
732.230242,787.007865,756.453258,812.879373
752.424678,787.677265,777.480493,812.895529
772.595321,787.741931,798.512927,813.521863
793.371728,787.799676,820.172139,813.492386
813.548877,787.851888,841.228162,812.853103
834.322549,787.927666,862.279205,812.826725
854.479042,788.599169,883.288923,812.755764
874.616779,788.669443,905.018605,812.782987
895.388820,788.732422,924.723079,812.805589
383.841575,804.841575,399.382075,833.965492
404.118307,804.886442,419.681941,834.578714
424.398420,804.955760,441.227177,834.537492
445.278055,804.998558,462.264451,834.541000
466.125213,805.667366,483.175147,834.528987
486.390682,805.721260,503.551664,833.861403
507.237275,805.785957,524.555556,834.506064
528.087577,805.833486,545.514590,833.895414
548.327584,805.912322,567.090376,833.846483
569.155626,805.969506,587.424772,834.470652
589.400131,806.630940,608.441615,834.457472
610.218803,806.678873,628.788660,833.823336
630.441249,806.760720,650.453293,834.446228
650.661546,806.805602,671.456073,833.757063
671.472922,806.865581,693.100917,833.744906
692.265348,806.919086,713.512213,833.749434
712.475582,806.975582,735.178365,833.703966
733.256417,807.032180,756.164707,833.714167
753.466785,807.712388,776.553801,833.677784
773.641498,807.766293,797.575006,833.700219
794.422980,807.832163,819.209216,833.683590
814.592948,807.882382,839.610600,833.635770
835.376068,807.953673,861.970456,832.963555
855.532388,808.614820,882.312288,834.272341
876.296374,808.681970,902.746328,833.634120
896.448293,808.744980,924.444687,833.595982
362.322589,301.728138,423.509925,326.719054
383.125674,301.860841,444.458024,327.256388
403.312140,302.568197,465.359211,325.875079
423.494769,302.694877,485.577993,325.842992
444.274035,303.415894,507.112604,326.401280
465.031644,303.536203,527.416624,326.363879
485.220632,303.674204,547.601851,325.683826
505.381518,303.792639,568.525138,325.577215
526.131947,304.511529,590.091834,324.898892
546.285086,304.632814,611.031038,325.478004
566.437843,304.752576,631.272274,325.445595
587.174873,305.477121,651.553319,324.727354
607.316698,305.603693,673.124084,324.657451
627.455777,305.724701,693.411705,324.608899
648.175923,306.437550,714.331446,324.541588
668.304957,306.555717,735.286523,324.461306
